Country,Continent,Year,GDP_per_capita,life_expectancy,Population
China,Asia,2010,7405.726251,74.868,1341335152
India,Asia,2010,2961.17336,65.65,1224614327
United States,N. America,2010,41230.56986,78.507,310383948
Indonesia,Asia,2010,3982.910268,70.185,239870937
Brazil,S. America,2010,10195.44815,73.121,194946470
Pakistan,Asia,2010,2614.772162,66.11,173593383
Nigeria,Africa,2010,2297.341367,51.297,158423182
Bangladesh,Asia,2010,1621.048571,69.449,148692131
Russia,Asia,2010,14207.51818,67.622,142958164
Japan,Asia,2010,30731.99257,83.092,126535920
Mexico,N. America,2010,11390.58354,76.836,113423047
Philippines,Asia,2010,3434.695972,68.207,93260798
Vietnam,Asia,2010,2830.7757,75.49,87848445
Ethiopia,Africa,2010,871.8371156,61.486,82949541
Germany,Europe,2010,32886.85849,80.23972189,82302465
Egypt,Africa,2010,6059.975994,70.478,81121077
Iran,Asia,2010,12483.19957,73.094,73973630
Turkey,Asia,2010,8556.033519,74.274,72752325
Thailand,Asia,2010,7996.075059,73.852,69122234
"Congo, Dem. Rep.",Africa,2010,373.6323918,49.01,65965795
France,Europe,2010,29691.24163,81.35,62787427
United Kingdom,Europe,2010,31448.18228,80.085,62035570
Italy,Europe,2010,26549.34432,81.923,60550848
South Africa,Africa,2010,9322.168814,54.547,50132817
"Korea, Rep.",Asia,2010,25080.3515,80.772,48183584
Myanmar,Asia,2010,1538.131781,64.658,47963012
Colombia,S. America,2010,7417.802828,73.424,46294841
Spain,Europe,2010,26779.63704,81.656,46076989
Ukraine,Europe,2010,6022.477704,68.188,45448329
Tanzania,Africa,2010,1229.299421,59.224,44841226
Kenya,Africa,2010,1471.325641,59.58,40512682
Argentina,S. America,2010,14486.6366,75.772,40412376
Poland,Europe,2010,17089.72163,75.902,38276660
Algeria,Africa,2010,6300.648214,70.615,35468208
Sudan,Africa,2010,2597.127808,61.49,34136520
Canada,N. America,2010,35219.34297,80.986,34016593
Uganda,Africa,2010,1219.457289,57.319,33424683
Morocco,Africa,2010,4263.175989,70.246,31951412
Iraq,Asia,2010,3760.811656,68.753,31671591
Afghanistan,Asia,2010,1214.613653,59.612,31411743
Nepal,Asia,2010,1203.934997,67.113,29959364
Peru,S. America,2010,8419.90566,73.912,29076512
Venezuela,S. America,2010,10956.60355,74.159,28979857
Malaysia,Asia,2010,13185.43553,74.479,28401017
Saudi Arabia,Asia,2010,23841.28888,74.832,27448086
Uzbekistan,Asia,2010,2753.989417,67.871,27444702
Ghana,Africa,2010,1485.657586,60.626,24391823
"Korea, Dem. Rep.",Asia,2010,1548.619789,69.118,24346229
"Yemen, Rep.",Asia,2010,2418.761076,62.536,24052514
Mozambique,Africa,2010,954.4875561,49.204,23390765
Taiwan,Asia,2010,31372.91051,79.15,23025000
Australia,Oceania,2010,34884.76376,82.091,22268384
Romania,Europe,2010,10738.96394,73.476,21486371
Sri Lanka,Asia,2010,4561.071915,73.79,20859949
Madagascar,Africa,2010,995.2184871,63.38,20713819
Syria,Asia,2010,4609.73113,74.693,20410606
