destination_continent,destination_name,origin_name,population,destination_lat,destination_lon,origin_lat,origin_lon
Northern America,United States,Afghanistan,"63,255",39.828175,-98.5795,33,66
Northern America,United States,Albania,"81,196",39.828175,-98.5795,41,20
Northern America,United States,Algeria,"17,700",39.828175,-98.5795,28,3
Northern America,United States,Angola,"12,683",39.828175,-98.5795,-12.5,18.5
Northern America,United States,Antigua and Barbuda,"28,558",39.828175,-98.5795,17.05,-61.8
Northern America,United States,Argentina,"179,639",39.828175,-98.5795,-34,-64
Northern America,United States,Armenia,"84,953",39.828175,-98.5795,40,45
Northern America,United States,Aruba,"5,943",39.828175,-98.5795,12.5,-69.966667
Northern America,United States,Australia,"77,845",39.828175,-98.5795,-25,135
Northern America,United States,Austria,"49,704",39.828175,-98.5795,47.333333,13.333333
Northern America,United States,Azerbaijan,"19,799",39.828175,-98.5795,40.5,47.5
Northern America,United States,Bahamas,"33,617",39.828175,-98.5795,24,-76
Northern America,United States,Bangladesh,"186,028",39.828175,-98.5795,24,90
Northern America,United States,Barbados,"54,780",39.828175,-98.5795,13.166667,-59.533333
Northern America,United States,Belarus,"56,701",39.828175,-98.5795,53,28
Northern America,United States,Belgium,"32,907",39.828175,-98.5795,50.833333,4
Northern America,United States,Belize,"49,765",39.828175,-98.5795,17.25,-88.75
Northern America,United States,Bermuda,"8,176",39.828175,-98.5795,32.333333,-64.75
Northern America,United States,Plurinational State of Bolivia,"80,073",39.828175,-98.5795,-17,-65
Northern America,United States,Bosnia and Herzegovina,"122,190",39.828175,-98.5795,44.25,17.833333
Northern America,United States,Brazil,"347,968",39.828175,-98.5795,-10,-55
Northern America,United States,Bulgaria,"65,190",39.828175,-98.5795,43,25
Northern America,United States,Cambodia,"167,039",39.828175,-98.5795,13,105
Northern America,United States,Cameroon,"41,242",39.828175,-98.5795,6,12
Northern America,United States,Canada,"842,175",39.828175,-98.5795,60,-96
Northern America,United States,Cape Verde,"35,228",39.828175,-98.5795,16,-24
Northern America,United States,Chile,"97,901",39.828175,-98.5795,-30,-71
Northern America,United States,China,"2,103,551",39.828175,-98.5795,35,105
Northern America,United States,Hong Kong,"223,719",39.828175,-98.5795,22.25,114.166667
Northern America,United States,Macao,"11,332",39.828175,-98.5795,22.157778,113.559722
Northern America,United States,Colombia,"687,696",39.828175,-98.5795,4,-72
Northern America,United States,Costa Rica,"85,924",39.828175,-98.5795,10,-84
Northern America,United States,Cote dIvoire,"25,976",39.828175,-98.5795,8,-5
Northern America,United States,Croatia,"44,598",39.828175,-98.5795,45.166667,15.5
Northern America,United States,Cuba,"1,131,284",39.828175,-98.5795,22,-79.5
Northern America,United States,Cyprus,"18,410",39.828175,-98.5795,35,33
Northern America,United States,Czech Republic,"70,917",39.828175,-98.5795,49.75,15
Northern America,United States,The Democratic Republic of the Congo,"23,043",39.828175,-98.5795,0,25
Northern America,United States,Denmark,"30,499",39.828175,-98.5795,56,10
Northern America,United States,Dominica,"29,579",39.828175,-98.5795,15.5,-61.333333
Northern America,United States,Dominican Republic,"940,874",39.828175,-98.5795,19,-70.666667
