country,total_migration,origin_lat,origin_lon,continent
India,15575724,20,77,Asia
Mexico,12339062,23,-102,Central America
Russia,10576766,60,100,Asia
China,9546065,35,105,Asia
Bangladesh,7205410,24,90,Asia
Pakistan,5935193,30,70,Asia
Ukraine,5825745,49,32,Europe
Philippines,5316320,13,122,Asia
Syria,5011509,35,38,Asia
United Kingdom,4917460,54,-4,Europe
Afghanistan,4843117,33,66,Asia
Poland,4449789,52,20,Europe
Kazakhstan,4075738,48,68,Asia
Germany,4045411,51.5,10.5,Europe
Indonesia,3876739,-5,120,Asia
State of Palestine,3551185,31.9522,35.2332,Asia
Romania,3408118,46,25,Europe
Egypt,3268970,27,30,Africa
Turkey,3114471,39.059012,34.911546,Asia
United States,3023657,39.828175,-98.5795,Northern America
Italy,2900924,42.833333,12.833333,Europe
Myanmar,2881797,22,98,Asia
Morocco,2834641,32,-5,Africa
Colombia,2638852,4,-72,South America
Viet Nam,2558678,16.166667,107.833333,Asia
Republic of Korea,2345840,37,127.5,Asia
Portugal,2306321,39.5,-8,Europe
France,2145975,46,2,Europe
Somalia,1998764,6,48,Africa
Uzbekistan,1991040,41.707542,63.84911,Asia
Sudan,1890861,16,30,Africa
Malaysia,1835252,2.5,112.5,Asia
Puerto Rico,1768384,18.2482882,-66.4998941,Caribbean
Algeria,1763771,28,3,Africa
Bosnia and Herzegovina,1650772,44.25,17.833333,Europe
Sri Lanka,1637385,7,81,Asia
Nepal,1629306,28,84,Asia
Brazil,1544024,-10,-55,South America
Belarus,1485323,53,28,Europe
Iraq,1479966,33,44,Asia
Burkina Faso,1453378,13,-2,Africa
El Salvador,1436158,13.833333,-88.916667,Central America
Curacao,1426380,12.166667,-69,Caribbean
Peru,1409676,-10,-76,South America
The Democratic Republic of the Congo,1403757,0,25,Africa
Lao Peoples Democratic Republic,1345075,18,105,Asia
Dominican Republic,1304493,19,-70.666667,Caribbean
Cape Verde,1286176,16,-24,Africa
Spain,1251004,40,-4,Europe
Haiti,1195240,19,-72.416667,Caribbean
Cameroon,1187142,6,12,Africa
Bulgaria,1176390,43,25,Europe
Azerbaijan,1146769,40.5,47.5,Asia
Islamic Republic of Iran,1123383,32,53,Asia
Albania,1122910,41,20,Europe
Ecuador,1101923,-2,-77.5,South America
Nigeria,1093644,10,8,Africa
Jamaica,1067455,18.25,-77.5,Caribbean
Hong Kong,1041264,22.25,114.166667,Asia
Guatemala,1017517,15.5,-90.25,Central America
Yemen,1012889,15.5,47.5,Asia
Mali,1005607,17,-4,Africa
Netherlands,981434,52.5,5.75,Europe
Serbia,964585,44,21,Europe
Argentina,940273,-34,-64,South America
Armenia,937299,40,45,Asia
Congo,932582,-1,15,Africa
Republic of Moldova,888610,47,29,Europe
Ireland,882022,53,-8,Europe
Greece,871643,39,22,Europe
Cuba,865147,22,-79.5,Caribbean
Zimbabwe,856345,-19,29,Africa
Thailand,854327,15,100,Asia
Croatia,850105,45.166667,15.5,Europe
Paraguay,845373,-22.993333,-57.996389,South America
South Africa,841120,-30,26,Africa
Georgia,838430,41.999981,43.499905,Asia
New Zealand,802335,-42,174,Oceania
Ghana,801710,8,-2,Africa
Plurinational State of Bolivia,799605,-17,-65,South America
Lebanon,798140,33.833333,35.833333,Asia
Japan,797496,36,138,Asia
Kyrgyzstan,760847,41,75,Asia
Ethiopia,753492,8,38,Africa
Uganda,736017,2,33,Africa
Mozambique,713867,-18.25,35,Africa
Jordan,699719,31,36,Asia
Switzerland,664557,47,8,Europe
Tunisia,651044,34,9,Africa
Honduras,648520,15,-86.5,Central America
Nicaragua,638958,13,-85,Central America
South Sudan,634613,8,30,Africa
Benin,615852,9.5,2.25,Africa
Chile,612409,-30,-71,South America
Bolivarian Republic of Venezuela,606344,8,-66,South America
Hungary,595937,47,20,Europe
Tajikistan,589748,39,71,Asia
Senegal,586870,14,-14,Africa
Austria,575828,47.333333,13.333333,Europe
Angola,555403,-12.5,18.5,Africa
Lithuania,544120,56,24,Europe
Belgium,530990,50.833333,4,Europe
Australia,526579,-25,135,Oceania
The former Yugoslav Republic of Macedonia  ,516024,41.833333,22,Europe
Eritrea,499916,15,39,Africa
Guyana,460286,5,-59,South America
Kenya,455889,1,38,Africa
Togo,446982,8,1.166667,Africa
Central African Republic,440745,7,21,Africa
Guinea,426941,11,-10,Africa
Lesotho,363763,-29.5,28.25,Africa
Trinidad and Tobago,363332,11,-61,Caribbean
Niger,356793,16,8,Africa
Uruguay,346976,-33,-56,South America
Israel,342585,31.5,34.75,Asia
Slovakia,341620,48.666667,19.5,Europe
Latvia,337678,57,25,Europe
Sweden,333428,62,15,Europe
Canada,328604,60,-96,Northern America
Rwanda,315866,-2,30,Africa
Singapore,313884,1.366667,103.8,Asia
Malawi,302515,-13.5,34,Africa
Finland,295077,64,26,Europe
United Republic of Tanzania,294531,-6,35,Africa
Burundi,284187,-3.5,30,Africa
Liberia,276630,6.5,-9.5,Africa
Saudi Arabia,270029,25,45,Asia
Suriname,267800,4,-56,South America
Denmark,250675,56,10,Europe
Turkmenistan,242948,40,60,Asia
Zambia,238121,-15,30,Africa
Cook Islands,220501,-16.083333,-161.583333,Oceania
Chad,208137,15,19,Africa
Fiji,204934,-18,178,Oceania
Estonia,198042,59,26,Europe
Norway,193477,62,10,Europe
Kuwait,187871,29.5,47.75,Asia
Czech Republic,177185,49.75,15,Europe
Madagascar,169984,-20,47,Africa
Mauritius,168255,-20.3,57.583333,Africa
Cambodia,165732,13,105,Asia
Namibia,145852,-22,17,Africa
Sierra Leone,145003,8.5,-11.5,Africa
Panama,142706,9,-80,Central America
Libya,141623,25,17,Africa
Slovenia,140490,46.25,15.166667,Europe
Macao,140395,22.157778,113.559722,Asia
Montenegro,138356,42.5,19.3,Europe
United Arab Emirates,136557,24,54,Asia
Cote dIvoire,133185,8,-5,Africa
Mauritania,119334,20,-12,Africa
Comoros,116516,-12.166667,44.25,Africa
Samoa,113139,-13.803096,-172.178309,Oceania
Democratic Peoples Republic of Korea ,112783,40,127,Asia
Malta,103392,35.916667,14.433333,Europe
Guinea-Bissau,101828,12,-15,Africa
